Date,Open,High,Low,Close,Volume
23/03/2018,89.5,90.459999,87.080002,87.18,44068900
26/03/2018,90.610001,94,90.400002,93.779999,56396800
27/03/2018,94.940002,95.139999,88.510002,89.470001,56569000
28/03/2018,89.82,91.230003,88.870003,89.389999,52501100
29/03/2018,90.18,92.290001,88.400002,91.269997,45867500
02/04/2018,90.470001,90.879997,87.510002,88.519997,48515400
03/04/2018,89.580002,90.050003,87.889999,89.709999,37213800
04/04/2018,87.849998,92.760002,87.730003,92.330002,35560000
05/04/2018,92.440002,93.07,91.400002,92.379997,29771900
06/04/2018,91.489998,92.459999,89.480003,90.230003,38026000
09/04/2018,91.040001,93.169998,90.620003,90.769997,31533900
10/04/2018,92.389999,93.279999,91.639999,92.879997,26812000
11/04/2018,92.010002,93.290001,91.480003,91.860001,24872100
12/04/2018,92.43,94.160004,92.43,93.580002,26758900
13/04/2018,94.050003,94.18,92.440002,93.080002,23346100
16/04/2018,94.07,94.660004,93.419998,94.169998,20288100
17/04/2018,95,96.540001,94.879997,96.07,26771000
18/04/2018,96.220001,96.720001,95.519997,96.440002,21043300
19/04/2018,96.440002,97.07,95.339996,96.110001,23552500
20/04/2018,95.910004,96.110001,94.050003,95,31154400
23/04/2018,95.739998,96.290001,94.629997,95.349998,22331800
24/04/2018,96.239998,96.470001,92.410004,93.120003,34524800
25/04/2018,93.300003,93.300003,90.279999,92.309998,33729300
26/04/2018,93.550003,95.150002,93.099998,94.260002,42529000
27/04/2018,97.599998,97.900002,93.910004,95.82,48272800
30/04/2018,96.330002,96.400002,93.150002,93.519997,41523600
01/05/2018,93.209999,95.290001,92.790001,95,31408900
02/05/2018,94.989998,95.169998,93.190002,93.510002,27471000
03/05/2018,92.959999,94.93,92.449997,94.07,31142500
04/05/2018,93.32,95.370003,92.919998,95.160004,22531300
07/05/2018,95.169998,96.709999,95.099998,96.220001,24242000
08/05/2018,95.849998,96.160004,95.059998,95.809998,23484600
09/05/2018,96.010002,96.970001,95.050003,96.940002,27327400
10/05/2018,97.459999,97.949997,97.050003,97.910004,22388100
11/05/2018,97.800003,97.870003,97.040001,97.699997,16778300
14/05/2018,97.919998,98.690002,97.309998,98.029999,19454100
15/05/2018,97.239998,97.849998,96.339996,97.32,24594000
16/05/2018,97.360001,97.400002,96.620003,97.150002,17384700
17/05/2018,96.760002,97.540001,95.830002,96.18,17246700
18/05/2018,96.010002,96.93,96.010002,96.360001,17865800
21/05/2018,97,98.010002,96.800003,97.599998,19422500
22/05/2018,97.68,98.169998,97.199997,97.5,15441200
23/05/2018,96.709999,98.730003,96.32,98.660004,21251200
24/05/2018,98.730003,98.940002,96.809998,98.309998,26649300
25/05/2018,98.300003,98.980003,97.860001,98.360001,18363900
29/05/2018,97.839996,98.879997,97.230003,98.010002,28671000
30/05/2018,98.309998,99.25,97.910004,98.949997,22158500
31/05/2018,99.290001,99.989998,98.610001,98.839996,34140900
01/06/2018,99.279999,100.860001,99.169998,100.790001,28655600
04/06/2018,101.260002,101.860001,100.849998,101.669998,27281600
05/06/2018,102,102.330002,101.529999,102.190002,23514400
06/06/2018,102.480003,102.599998,101.900002,102.489998,21122900
07/06/2018,102.650002,102.690002,100.379997,100.879997,28232200
08/06/2018,101.089996,101.949997,100.540001,101.629997,22165100
11/06/2018,101.010002,101.589996,100.669998,101.050003,23490900
12/06/2018,101.099998,101.449997,100.75,101.309998,18325200
13/06/2018,101.720001,102.010002,100.559998,100.849998,29492900
14/06/2018,101.650002,102.029999,101,101.419998,25691800
15/06/2018,101.510002,101.529999,100.07,100.129997,65738600
18/06/2018,100.010002,101.110001,99.419998,100.860001,23586000
19/06/2018,99.650002,101,99.5,100.860001,28653100
20/06/2018,101.370003,102.519997,101.120003,101.870003,26180800
21/06/2018,102.080002,102.459999,100.879997,101.139999,23198200
22/06/2018,100.410004,100.769997,99.629997,100.410004,38923100
25/06/2018,100,100.110001,97.300003,98.389999,35433300
26/06/2018,98.82,100.080002,98.75,99.080002,26897200
27/06/2018,99.580002,100.019997,97.400002,97.540001,31298400
28/06/2018,97.379997,99.110001,97.260002,98.629997,26650700
29/06/2018,98.93,99.910004,98.330002,98.610001,28053200
02/07/2018,98.099998,100.059998,98,100.010002,19564500
03/07/2018,100.480003,100.629997,98.940002,99.050003,14670300
05/07/2018,99.5,99.919998,99.029999,99.760002,18977400
06/07/2018,99.889999,101.43,99.669998,101.160004,19234600
09/07/2018,101.650002,102.25,101.25,101.849998,18212000
10/07/2018,102,102.510002,101.860001,102.120003,19293100
11/07/2018,101.150002,102.339996,101.099998,101.980003,19644600
12/07/2018,102.769997,104.410004,102.730003,104.190002,24335900
13/07/2018,104.370003,105.599998,104.089996,105.43,24635200
16/07/2018,105.400002,105.82,104.519997,104.910004,21786900
17/07/2018,104.610001,106.5,104.32,105.949997,25901700
18/07/2018,105.940002,106.050003,104.720001,105.120003,29493900
19/07/2018,104.93,105.309998,103.889999,104.400002,40171600
20/07/2018,108.080002,108.199997,106.080002,106.269997,56004000
23/07/2018,106.300003,108.139999,106.129997,107.970001,29707000
24/07/2018,108.57,108.82,107.260002,107.660004,26316600
25/07/2018,107.959999,111.150002,107.599998,110.830002,30702100
26/07/2018,110.739998,111,109.5,109.620003,31372100
27/07/2018,110.18,110.18,106.139999,107.68,37005300
30/07/2018,107.190002,107.529999,104.760002,105.370003,34668300
31/07/2018,106.489998,106.720001,105.379997,106.080002,27655200
01/08/2018,106.029999,106.449997,105.419998,106.279999,23628700
02/08/2018,105.400002,108.089996,104.839996,107.57,26104300
03/08/2018,107.800003,108.050003,106.82,108.040001,18659600
06/08/2018,108.120003,108.419998,107.559998,108.129997,20265900
07/08/2018,108.559998,109.099998,108.169998,108.879997,16080200
08/08/2018,109.330002,109.75,108.760002,109.489998,15487500
09/08/2018,109.709999,110.160004,109.599998,109.669998,13677200
10/08/2018,109.419998,109.690002,108.379997,109,18183700
13/08/2018,109.239998,109.580002,108.099998,108.209999,18472500
14/08/2018,108.559998,109.75,108.040001,109.559998,16788300
15/08/2018,108.489998,108.989998,106.82,107.660004,29982800
16/08/2018,108.300003,108.860001,107.300003,107.639999,21384300
17/08/2018,107.360001,107.900002,106.690002,107.580002,18061500
20/08/2018,107.510002,107.900002,106.480003,106.870003,17914200
21/08/2018,106.919998,107.349998,105.849998,105.980003,22881900
22/08/2018,105.849998,107.339996,105.779999,107.059998,18000600
23/08/2018,107.150002,108.18,106.870003,107.559998,18167700
24/08/2018,107.669998,108.559998,107.559998,108.400002,17234000
27/08/2018,109.269997,109.639999,108.510002,109.599998,19662300
28/08/2018,109.940002,110.5,109.790001,110.260002,19151500
29/08/2018,110.449997,112.029999,110.269997,112.019997,20818000
30/08/2018,111.669998,112.610001,111.440002,111.949997,22798700
31/08/2018,111.690002,112.779999,111.519997,112.330002,23222700
04/09/2018,110.849998,111.959999,110.220001,111.709999,22634600
05/09/2018,111.010002,111.419998,108.099998,108.489998,32872400
06/09/2018,108.25,108.989998,107.510002,108.739998,23477600
07/09/2018,108.230003,108.720001,107.230003,108.209999,22498600
10/09/2018,108.839996,109.639999,108.360001,109.379997,20727900
11/09/2018,108.900002,111.589996,108.889999,111.239998,24301800
12/09/2018,111.43,111.849998,110.510002,111.709999,18891100
13/09/2018,112.120003,113.730003,112.120003,112.910004,26055600
14/09/2018,113.360001,113.730003,112.440002,113.370003,19122300
